,,validdate,t_2m:C,relative_humidity_2m:p,uv:idx,precip_1h:mm
Rio Branco,139,2020-05-19T00:00:00Z,-15.7,82.2,0,0.01
Rio Branco,140,2020-05-20T00:00:00Z,-18.0,83.5,0,0.04
Rio Branco,141,2020-05-21T00:00:00Z,-19.8,83.4,0,0.01
Rio Branco,142,2020-05-22T00:00:00Z,-22.8,79.8,0,0.0
Rio Branco,143,2020-05-23T00:00:00Z,-19.0,85.2,0,0.03
Rio Branco,144,2020-05-24T00:00:00Z,-19.0,86.4,0,0.01
Rio Branco,145,2020-05-25T00:00:00Z,-6.2,94.5,0,0.19
Rio Branco,146,2020-05-26T00:00:00Z,-8.4,90.7,0,0.02
Rio Branco,147,2020-05-27T00:00:00Z,-13.4,81.1,0,0.01
Rio Branco,148,2020-05-28T00:00:00Z,-18.7,77.0,0,0.0
Rio Branco,149,2020-05-29T00:00:00Z,-10.3,89.5,0,0.05
Rio Branco,150,2020-05-30T00:00:00Z,-6.5,97.4,0,0.06
Rio Branco,151,2020-05-31T00:00:00Z,-8.4,89.6,0,0.02
Maceió,0,2020-01-01T00:00:00Z,18.2,90.5,0,0.0
Maceió,1,2020-01-02T00:00:00Z,17.8,81.6,0,0.0
Maceió,2,2020-01-03T00:00:00Z,19.3,92.4,0,0.0
Maceió,3,2020-01-04T00:00:00Z,15.8,83.2,0,0.22
Maceió,4,2020-01-05T00:00:00Z,17.5,65.5,0,0.0
Maceió,5,2020-01-06T00:00:00Z,17.3,76.9,0,0.0
Maceió,6,2020-01-07T00:00:00Z,19.2,90.8,0,0.02
Maceió,7,2020-01-08T00:00:00Z,14.8,66.2,0,0.0
Maceió,8,2020-01-09T00:00:00Z,15.8,61.0,0,0.01
Maceió,9,2020-01-10T00:00:00Z,18.8,90.8,0,0.09
Maceió,10,2020-01-11T00:00:00Z,17.5,76.3,0,0.0
Maceió,11,2020-01-12T00:00:00Z,18.6,84.0,0,0.0
Maceió,12,2020-01-13T00:00:00Z,19.0,92.1,0,0.0
Maceió,13,2020-01-14T00:00:00Z,20.4,90.6,0,0.0
Maceió,14,2020-01-15T00:00:00Z,16.5,74.2,0,0.0
Maceió,15,2020-01-16T00:00:00Z,16.3,71.1,0,0.02
Maceió,16,2020-01-17T00:00:00Z,17.2,71.4,0,0.0
Maceió,17,2020-01-18T00:00:00Z,17.7,68.3,0,0.0
Maceió,18,2020-01-19T00:00:00Z,18.8,75.2,0,0.0
Maceió,19,2020-01-20T00:00:00Z,18.8,87.0,0,0.0
Maceió,20,2020-01-21T00:00:00Z,18.7,92.5,0,0.0
Maceió,21,2020-01-22T00:00:00Z,18.7,81.9,0,0.0
Maceió,22,2020-01-23T00:00:00Z,19.0,81.8,0,0.0
Maceió,23,2020-01-24T00:00:00Z,19.5,96.9,0,0.57
Maceió,24,2020-01-25T00:00:00Z,17.6,63.0,0,0.0
Maceió,25,2020-01-26T00:00:00Z,17.3,66.4,0,0.0
Maceió,26,2020-01-27T00:00:00Z,20.2,85.2,0,0.0
Maceió,27,2020-01-28T00:00:00Z,20.2,93.9,0,0.0
Maceió,28,2020-01-29T00:00:00Z,20.2,94.6,0,0.0
Maceió,29,2020-01-30T00:00:00Z,20.3,94.6,0,0.14
Maceió,30,2020-01-31T00:00:00Z,17.8,68.4,0,0.0
Maceió,31,2020-02-01T00:00:00Z,20.0,79.2,0,0.0
Maceió,32,2020-02-02T00:00:00Z,20.9,89.0,0,1.96
Maceió,33,2020-02-03T00:00:00Z,19.0,79.0,0,0.02
Maceió,34,2020-02-04T00:00:00Z,17.1,72.2,0,0.04
Maceió,35,2020-02-05T00:00:00Z,15.1,62.0,0,0.05
Maceió,36,2020-02-06T00:00:00Z,16.0,63.6,0,0.04
Maceió,37,2020-02-07T00:00:00Z,17.4,64.4,0,0.0
Maceió,38,2020-02-08T00:00:00Z,19.3,81.2,0,0.08
Maceió,39,2020-02-09T00:00:00Z,19.4,84.7,0,0.01
Maceió,40,2020-02-10T00:00:00Z,20.6,89.8,0,0.0
Maceió,41,2020-02-11T00:00:00Z,21.7,90.2,0,0.0
Maceió,42,2020-02-12T00:00:00Z,17.8,64.8,0,0.0
Maceió,43,2020-02-13T00:00:00Z,17.2,64.5,0,0.0
Maceió,44,2020-02-14T00:00:00Z,16.0,63.3,0,0.04
Maceió,45,2020-02-15T00:00:00Z,16.2,65.8,0,0.0
Maceió,46,2020-02-16T00:00:00Z,17.1,81.5,0,0.0
Maceió,47,2020-02-17T00:00:00Z,19.2,74.7,0,0.01
Maceió,48,2020-02-18T00:00:00Z,18.7,90.0,0,0.0
Maceió,49,2020-02-19T00:00:00Z,19.8,93.8,0,0.01
Maceió,50,2020-02-20T00:00:00Z,19.9,92.9,0,0.0
Maceió,51,2020-02-21T00:00:00Z,20.4,91.1,0,0.0
Maceió,52,2020-02-22T00:00:00Z,20.3,93.7,0,0.01
Maceió,53,2020-02-23T00:00:00Z,20.0,94.8,0,0.0
Maceió,54,2020-02-24T00:00:00Z,20.8,89.9,0,0.0
Maceió,55,2020-02-25T00:00:00Z,21.1,90.0,0,0.08
Maceió,56,2020-02-26T00:00:00Z,17.4,75.6,0,0.0
Maceió,57,2020-02-27T00:00:00Z,19.3,84.5,0,0.05
Maceió,58,2020-02-28T00:00:00Z,21.0,91.7,0,0.01
Maceió,59,2020-02-29T00:00:00Z,21.1,90.8,0,0.0
Maceió,60,2020-03-01T00:00:00Z,21.3,91.7,0,0.26
Maceió,61,2020-03-02T00:00:00Z,21.3,93.7,0,0.09
Maceió,62,2020-03-03T00:00:00Z,18.7,81.2,0,0.0
Maceió,63,2020-03-04T00:00:00Z,19.1,66.2,0,0.01
Maceió,64,2020-03-05T00:00:00Z,20.0,82.4,0,0.08
Maceió,65,2020-03-06T00:00:00Z,20.2,89.7,0,2.2
Maceió,66,2020-03-07T00:00:00Z,16.7,67.4,0,0.0
Maceió,67,2020-03-08T00:00:00Z,17.3,50.9,0,0.0
Maceió,68,2020-03-09T00:00:00Z,20.0,90.7,0,1.57
Maceió,69,2020-03-10T00:00:00Z,19.9,80.7,0,0.15
Maceió,70,2020-03-11T00:00:00Z,18.5,84.2,0,0.04
Maceió,71,2020-03-12T00:00:00Z,18.0,73.2,0,0.0
Maceió,72,2020-03-13T00:00:00Z,18.3,75.8,0,0.0
Maceió,73,2020-03-14T00:00:00Z,17.1,57.8,0,0.0
Maceió,74,2020-03-15T00:00:00Z,18.9,68.6,0,0.01
Maceió,75,2020-03-16T00:00:00Z,20.3,92.1,0,0.13
Maceió,76,2020-03-17T00:00:00Z,18.0,72.3,0,0.0
Maceió,77,2020-03-18T00:00:00Z,19.1,87.3,0,0.01
Maceió,78,2020-03-19T00:00:00Z,19.5,79.4,0,0.27
Maceió,79,2020-03-20T00:00:00Z,18.1,79.8,0,0.02
Maceió,80,2020-03-21T00:00:00Z,19.3,85.3,0,0.03
Maceió,81,2020-03-22T00:00:00Z,20.9,94.4,0,0.0
Maceió,82,2020-03-23T00:00:00Z,19.6,86.2,0,2.78
Maceió,83,2020-03-24T00:00:00Z,19.7,90.5,0,1.42
Maceió,84,2020-03-25T00:00:00Z,18.1,85.1,0,0.0
Maceió,85,2020-03-26T00:00:00Z,20.8,91.2,0,0.56
Maceió,86,2020-03-27T00:00:00Z,18.3,81.3,0,0.0
Maceió,87,2020-03-28T00:00:00Z,17.8,79.7,0,0.04
Maceió,88,2020-03-29T00:00:00Z,18.1,77.8,0,0.0
Maceió,89,2020-03-30T00:00:00Z,18.0,80.8,0,0.14
Maceió,90,2020-03-31T00:00:00Z,18.6,76.0,0,0.0
Maceió,91,2020-04-01T00:00:00Z,20.9,88.2,0,0.61
Maceió,92,2020-04-02T00:00:00Z,21.3,89.8,0,0.61
Maceió,93,2020-04-03T00:00:00Z,16.4,56.5,0,0.0
Maceió,94,2020-04-04T00:00:00Z,18.2,53.9,0,0.0
Maceió,95,2020-04-05T00:00:00Z,16.4,70.0,0,0.01
Maceió,96,2020-04-06T00:00:00Z,21.4,91.2,0,0.71
Maceió,97,2020-04-07T00:00:00Z,20.7,89.4,0,0.19
Maceió,98,2020-04-08T00:00:00Z,19.0,73.9,0,0.0
Maceió,99,2020-04-09T00:00:00Z,18.1,77.1,0,0.02
Maceió,100,2020-04-10T00:00:00Z,20.4,89.8,0,1.06
Maceió,101,2020-04-11T00:00:00Z,18.4,77.9,0,0.02
Maceió,102,2020-04-12T00:00:00Z,16.0,72.8,0,0.0
Maceió,103,2020-04-13T00:00:00Z,18.5,81.5,0,0.0
Maceió,104,2020-04-14T00:00:00Z,20.1,92.6,0,0.24
Maceió,105,2020-04-15T00:00:00Z,18.7,83.1,0,0.0
Maceió,106,2020-04-16T00:00:00Z,18.9,88.9,0,0.0
Maceió,107,2020-04-17T00:00:00Z,17.0,80.3,0,0.05
Maceió,108,2020-04-18T00:00:00Z,20.2,85.3,0,0.05
Maceió,109,2020-04-19T00:00:00Z,12.7,69.0,0,0.07
Maceió,110,2020-04-20T00:00:00Z,15.0,54.3,0,0.0
Maceió,111,2020-04-21T00:00:00Z,18.0,77.2,0,0.0
Maceió,112,2020-04-22T00:00:00Z,17.6,81.6,0,0.09
Maceió,113,2020-04-23T00:00:00Z,19.0,80.5,0,0.0
Maceió,114,2020-04-24T00:00:00Z,19.6,89.9,0,0.01
Maceió,115,2020-04-25T00:00:00Z,17.7,78.0,0,0.0
Maceió,116,2020-04-26T00:00:00Z,15.3,57.0,0,0.0
Maceió,117,2020-04-27T00:00:00Z,18.9,62.1,0,0.0
Maceió,118,2020-04-28T00:00:00Z,18.8,83.0,0,0.08
Maceió,119,2020-04-29T00:00:00Z,16.2,60.3,0,0.0
Maceió,120,2020-04-30T00:00:00Z,16.9,75.1,0,0.01
Maceió,121,2020-05-01T00:00:00Z,18.5,74.6,0,0.14
Maceió,122,2020-05-02T00:00:00Z,15.4,86.2,0,0.5
Maceió,123,2020-05-03T00:00:00Z,19.5,90.5,0,0.37
Maceió,124,2020-05-04T00:00:00Z,19.4,91.6,0,0.02
Maceió,125,2020-05-05T00:00:00Z,19.7,92.1,0,1.17
Maceió,126,2020-05-06T00:00:00Z,18.3,88.9,0,0.07
Maceió,127,2020-05-07T00:00:00Z,18.7,84.1,0,0.08
Maceió,128,2020-05-08T00:00:00Z,19.2,89.0,0,0.03
